
# L= 80  beta= [2.0]  t_max= 30.0  steps= 2000,D= [60] #
t 	 E 	 mag
8.415	-76.86020667780389	-0.11077443758218555
8.43	-76.8602066589402	-0.11057366290697947
8.445	-76.8602066380394	-0.11037750411846349
8.46	-76.86020661503686	-0.11018660180547954
8.475	-76.86020658987397	-0.11000157218464698
8.49	-76.86020656249431	-0.1098230051557469
8.505	-76.86020653284878	-0.10965146247075608
8.52	-76.86020650089228	-0.10948747602201805
8.535	-76.86020646658824	-0.10933154625449845
8.55	-76.86020642990397	-0.10918414070659122
8.565	-76.86020639081585	-0.10904569268342587
8.58	-76.86020634930696	-0.10891660006608103
8.595	-76.86020630536693	-0.10879722425958424
8.61	-76.86020625899538	-0.10868788928205843
8.625	-76.86020621019756	-0.10858888099678163
8.64	-76.86020615899022	-0.10850044648844437
8.655	-76.86020610539441	-0.10842279358429094
8.67	-76.8602060494423	-0.10835609052034131
8.685	-76.86020599117309	-0.1083004657523162
8.7	-76.86020593063346	-0.10825600791038671
8.715	-76.8602058678816	-0.10822276589634686
8.73	-76.86020580297898	-0.10820074912128314
8.745	-76.8602057359976	-0.1081899278813691
8.76	-76.86020566701688	-0.10819023386886878
8.775	-76.86020559612163	-0.10820156081502244
8.79	-76.8602055234044	-0.10822376526102606
8.805	-76.86020544896719	-0.10825666745288173
8.82	-76.86020537291135	-0.10830005235548619
8.835	-76.86020529534943	-0.10835367078099474
8.85	-76.8602052163973	-0.10841724062603958
8.865	-76.86020513617405	-0.10849044821213946
8.88	-76.86020505480289	-0.10857294972327963
8.895	-76.86020497241269	-0.10866437273436089
8.91	-76.86020488913074	-0.10876431782395363
8.925	-76.8602048050904	-0.10887236026459346
8.94	-76.86020472042388	-0.10898805178360378
