L= 50  beta= 0.5  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 10.0
# t 	 E 	 mag 	 corr 	 err
1.37	-265.0178952857424	-0.46246574641964266	-10574655870064645e-26	41907065685596913e-35
1.375	-265.0175346767203	-0.462328407080716	-14020115756782098e-26	4151246127563829e-34
1.38	-265.0175107548839	-0.46223336904683643	-1761430797541192e-25	38838685238242555e-35
1.385	-265.0178277601566	-0.46218219782740816	-21207810937123245e-26	39393070026801475e-35
1.39	-265.01847353890764	-0.4621754489854558	-2465230831593536e-25	39657268739258667e-35
1.395	-265.01941997056207	-0.4622126970075663	-27806588663529184e-26	3924007942899391e-34
1.4	-265.02062417048205	-0.4622925563202501	-30542214173592913e-26	40103124685787566e-35
1.405	-265.0220304183938	-0.462412695090042	-3274863213183841e-25	39042832378580903e-35
1.41	-265.02357272616405	-0.4625698452702277	-3433752718097711e-25	39297257004700913e-35
1.415	-265.0251779265184	-0.4627598147397778	-3524624386693573e-25	40433345718109013e-35
1.42	-265.0267691382195	-0.46297750910868374	-35440147534296717e-26	42247194192587386e-35
1.425	-265.0282694433312	-0.4632169716762679	-34913834928425094e-26	381989990273354e-33
1.43	-265.02960560052196	-0.4634714500306262	-336911531940124e-24	3952136522450656e-34
1.435	-265.03071161481967	-0.463733496840731	-3182403321970666e-25	40670513600315273e-35
1.44	-265.03153198955636	-0.463995110565212	-2939019227743833e-25	38906386590246693e-35
1.445	-265.0320245001652	-0.4642479191979668	-26489805877398053e-26	3970314260717521e-34
1.45	-265.0321623510349	-0.46448340696636814	-23241289995419097e-26	39249520696477794e-35
1.455	-265.0319356054302	-0.4646931803193908	-19776370720417454e-26	3846080543736357e-34
1.46	-265.03135181277236	-0.4648692658496644	-1623464634033133e-25	36863913733435907e-35
1.465	-265.0304357957307	-0.46500442926166374	-12757866421033067e-26	36871083260534567e-35
1.47	-265.02922860010403	-0.465092501403468	-948416255514585e-25	3864302250508574e-34
1.475	-265.02778565117876	-0.4651286949749725	-6542465930865154e-26	39613400296732e-32
1.48	-265.0261741988842	-0.4651098940271027	-4047337676172412e-26	42022455980972964e-35
1.485	-265.02447016959115	-0.4650348979378343	-20944194860685032e-27	3977397383079346e-34
1.49	-265.02275457197516	-0.46490460228751834	-756684883853128e-26	41688472923333446e-35
1.495	-265.0211096273173	-0.4647221009825647	-8163768387602904e-28	3789861751850049e-34
1.5	-265.01961480942714	-0.46449269703980717	-8956447190978777e-28	3991938543067782e-34
1.505	-265.01834298527365	-0.4642238135144937	-772904015534803e-26	3818272432876589e-34
1.51	-265.0173568440426	-0.4639248009352255	-2096751069646483e-26	4035326262903972e-34
1.515	-265.01670579005133	-0.463606643042239	-40004657751330565e-27	3906668936456312e-34
1.52	-265.01642345351956	-0.46328156830850725	-6400315414411656e-26	385178892215498e-33
1.525	-265.0165259448586	-0.46296258032957427	-9193034396318499e-26	38955165189229253e-35
1.53	-265.0170109427864	-0.46266292535858355	-12260151686705185e-26	39184664040400877e-35
1.535	-265.01785766679313	-0.46239551971493914	-1547290501077687e-25	3971566768622586e-34
1.54	-265.0190277422634	-0.4621723632163081	-18697538714391574e-26	40026337254285016e-35
1.545	-265.02046692298313	-0.46200396693082635	-2180076811506677e-25	41025273130912077e-35
