L= 50  beta= 0.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t      E   mag_x   max_z   corr    err     entropy
4.675   -63.23382943755043  -0.6458528635849201 0.011841309673946063    -0.1741775198348132 2830652890874654e-33    0.5288307790804759
4.7 -63.233826105061695 -0.6458660689931933 0.012191384862156969    -0.17414804424210228    32847656758355164e-34   0.5288998540522127
4.725   -63.23382226823555  -0.6458802420862627 0.012420728221861646    -0.1741201292583256 382154466297761e-32 0.5289640545068496
4.75    -63.23381795047452  -0.6458947714203416 0.01252722673167644 -0.17409420689718405    4435865672343366e-33    0.5290227708868791
4.775   -63.233813182585315 -0.6459090360102707 0.012509979482316786    -0.17407060608432212    515335446971339e-32 0.5290755800966126
4.8 -63.23380800267928  -0.6459224300479594 0.012369306972379167    -0.17404954282583418    5988197049296832e-33    0.5291222589466812
4.825   -63.233802455936285 -0.6459343868344547 0.012106748275191403    -0.17403111505775534    6946050169283038e-33    0.5291627902474199
4.85    -63.23379659423182  -0.6459444009843268 0.011725046067742528    -0.17401530234776338    8055645888419553e-33    0.5291973613550748
4.875   -63.23379047563988  -0.6459520480364791 0.011228119636809069    -0.1740019704263578 9319548491850628e-33    0.5292263552504651
4.9 -63.233784163809524 -0.6459570007143413 0.010621026101252698    -0.17399088033207905    10769689357729152e-33   0.5292503345045981
4.925   -63.23377772722268  -0.6459590412163935 0.00990991021161634 -0.17398170177104547    12417589024818353e-33   0.5292700187503012
4.95    -63.233771238344325 -0.6459580690795661 0.009101943207175013    -0.17397403012299445    14288435613188073e-33   0.5292862565239953
4.975   -63.23376477268423  -0.6459541043364182 0.008205251325606941    -0.17396740638073716    16389588721428823e-33   0.5292999925590204
5   -63.23375840777573  -0.6459472858749451 0.007228834669409259    -0.17396133919330278    18750793523621487e-33   0.5293122317920299

L= 50  beta= 0.01  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t      E   mag_x   mag_z   corr    err
0.025   -0.9899016499192232 -0.009998999347105988   -10525168883200603e-24  11077901325790889e-32   11512405655029659e-37
0.05    -0.9899015621304474 -0.009998996982706725   -5019325625808723e-23   2519361957805197e-30    48592161569931534e-40
0.075   -0.9899014196482232 -0.009998992986748573   -13568471533392846e-23  18410339635211308e-30   9642791180944814e-37
0.1 -0.9899012306742052 -0.00999898721419601    -2914042217711601e-22   8491641511221018e-29    4638127663876878e-35
0.125   -0.9899010125690517 -0.009998979295183359   -5521090422050932e-22   30482438532517406e-29   27649333976280916e-35
